skin_type,symptoms,acne_level,sensitivity,user_confusion,routine_level,makeup_style,recommendation
unknown,not sure skin type,low,high,no,beginner,natural light makeup,skin_analysis_routine
oily,large pores,low,high,yes,intermediate,matte makeup,oil_control_routine
dry,tight skin,low,low,yes,beginner,soft makeup,hydration_routine
unknown,no idea skin,high,medium,yes,intermediate,basic makeup,skin_analysis_routine
sensitive,redness,low,high,no,intermediate,clean makeup,soothing_routine
oily,shine face,medium,low,yes,intermediate,matte makeup,oil_control_routine
sensitive,irritation,high,medium,yes,intermediate,light makeup,soothing_routine
dry,peeling skin,low,high,no,intermediate,soft makeup,hydration_routine
oily,large pores,low,low,yes,intermediate,matte makeup,oil_control_routine
oily,shine face,medium,medium,no,intermediate,matte makeup,oil_control_routine
sensitive,irritation,low,high,no,beginner,light makeup,soothing_routine
unknown,not sure skin type,high,high,yes,beginner,minimal makeup,skin_analysis_routine
combination,mixed skin areas,high,high,yes,intermediate,balanced makeup,balanced_routine
oily,shine face,medium,medium,no,beginner,matte makeup,oil_control_routine
normal,balanced skin,medium,low,no,intermediate,simple makeup,maintenance_routine
combination,oily T-zone dry cheeks,medium,low,yes,intermediate,soft matte,balanced_routine
normal,smooth skin,high,medium,no,beginner,natural glow makeup,maintenance_routine
normal,smooth skin,low,low,yes,beginner,simple makeup,maintenance_routine
oily,large pores,medium,high,yes,intermediate,long-lasting matte,oil_control_routine
normal,smooth skin,high,medium,yes,beginner,simple makeup,maintenance_routine
normal,smooth skin,high,medium,yes,intermediate,light makeup,maintenance_routine
oily,acne and oil,low,high,no,beginner,oil-free makeup,oil_control_routine
dry,itchy dryness,medium,high,yes,beginner,glow makeup,hydration_routine
oily,large pores,high,low,no,intermediate,matte makeup,oil_control_routine
dry,peeling skin,medium,low,yes,beginner,soft makeup,hydration_routine
dry,tight skin,high,medium,yes,beginner,dewy natural makeup,hydration_routine
unknown,confused skin,high,low,no,intermediate,natural light makeup,skin_analysis_routine
normal,balanced skin,high,low,no,intermediate,simple makeup,maintenance_routine
unknown,confused skin,medium,high,no,beginner,natural light makeup,skin_analysis_routine
oily,shine face,medium,low,yes,beginner,matte makeup,oil_control_routine
dry,itchy dryness,high,low,yes,beginner,dewy natural makeup,hydration_routine
sensitive,redness,high,low,no,intermediate,minimal makeup,soothing_routine
normal,healthy skin,high,high,no,beginner,light makeup,maintenance_routine
combination,oily T-zone dry cheeks,low,low,no,intermediate,natural matte,balanced_routine
combination,mixed skin areas,high,low,yes,beginner,natural matte,balanced_routine
